source1_entity_id,missed_target_id,reason,country_mismatch,beyond_rank_cut,postings_budget_dropped
S1-537980024,S2-208043942,beyond_rank_cut,False,True,False
S1-970109960,S3-614935170,beyond_rank_cut,False,True,False
S1-360048487,S3-115306491,no_shared_term,False,False,False
S1-754751726,S3-333915228,no_shared_term,False,False,False
S1-754751726,S3-610167370,no_shared_term,False,False,False
S1-806633200,S3-617777320,beyond_rank_cut,False,True,False
S1-676177793,S2-493118510,beyond_rank_cut,False,True,False
S1-607625568,S3-887309339,beyond_rank_cut,False,True,False
S1-82230010,S2-387071258,beyond_rank_cut,False,True,False
S1-477872834,S2-165129219,beyond_rank_cut,False,True,False
S1-630786028,S2-17110762,no_shared_term,False,False,False
S1-940182268,S3-889880754,no_shared_term,False,False,False
S1-686230028,S2-126486818,beyond_rank_cut,False,True,False
S1-686230028,S3-867244537,beyond_rank_cut,False,True,False
S1-654933215,S3-717474648,beyond_rank_cut,False,True,False
S1-321614320,S3-151865190,beyond_rank_cut,False,True,False
S1-954946343,S3-497052164,beyond_rank_cut,False,True,False
S1-199728617,S2-122856954,no_shared_term,False,False,False
S1-199728617,S3-755745747,beyond_rank_cut,False,True,False
S1-520722323,S2-523385421,beyond_rank_cut,False,True,False
S1-635906901,S2-96015053,beyond_rank_cut,False,True,False
S1-367005889,S3-136613962,no_shared_term,False,False,False
S1-367005889,S3-78444285,beyond_rank_cut,False,True,False
S1-509219451,S3-753210276,no_shared_term,False,False,False
S1-596280337,S3-731259523,beyond_rank_cut,False,True,False
S1-945229002,S3-197435879,beyond_rank_cut,False,True,False
S1-489956432,S2-882195911,no_shared_term,False,False,False
S1-682388009,S3-12748203,beyond_rank_cut,False,True,False
S1-997809304,S3-518308353,beyond_rank_cut,False,True,False
S1-989507897,S3-536133785,beyond_rank_cut,False,True,False
S1-278919318,S3-483061472,beyond_rank_cut,False,True,False
S1-919054203,S3-411622308,beyond_rank_cut,False,True,False
S1-919054203,S3-5888122,beyond_rank_cut,False,True,False
S1-276403733,S3-850392248,no_shared_term,False,False,False
S1-493193671,S3-872323766,beyond_rank_cut,False,True,False
S1-331907483,S2-834749766,no_shared_term,False,False,False
S1-562433288,S2-919249034,beyond_rank_cut,False,True,False
S1-715555567,S3-58771823,no_shared_term,False,False,False
S1-677355870,S3-407085901,beyond_rank_cut,False,True,False
S1-600920360,S2-358505192,no_shared_term,False,False,False
S1-58244170,S3-764134879,beyond_rank_cut,False,True,False
S1-833000431,S3-856478318,beyond_rank_cut,False,True,False
S1-888987026,S2-509308289,beyond_rank_cut,False,True,False
S1-231847614,S3-889695364,beyond_rank_cut,False,True,False
S1-750686623,S2-227979882,no_shared_term,False,False,False
S1-750686623,S3-237602194,no_shared_term,False,False,False
S1-358711052,S2-756434054,beyond_rank_cut,False,True,False
S1-288181913,S3-925756167,beyond_rank_cut,False,True,False
S1-264020110,S2-255732056,beyond_rank_cut,False,True,False
S1-264020110,S3-813107676,beyond_rank_cut,False,True,False
S1-401140351,S2-823715340,beyond_rank_cut,False,True,False
S1-734712537,S2-520713506,beyond_rank_cut,False,True,False
S1-865432899,S3-249533993,beyond_rank_cut,False,True,False
S1-109313440,S3-913265517,beyond_rank_cut,False,True,False
S1-36066578,S2-667027908,no_shared_term,False,False,False
S1-921862732,S3-960903102,beyond_rank_cut,False,True,False
S1-731313362,S3-257260236,beyond_rank_cut,False,True,False
S1-228366867,S2-647249482,beyond_rank_cut,False,True,False
S1-131123619,S3-294221227,beyond_rank_cut,False,True,False
S1-131123619,S3-517851127,beyond_rank_cut,False,True,False
